NodeID	RoadID	NodeID	RoadID	NodeID
2431	4693	2360	3347	2319
38680	4228	2971	4219	30101
38638	4065	2975	4126	2965
3018	4126	2975	4065	38638
3018	4126	2975	4126	2965
2945	4065	2975	4126	3018
2965	4126	2975	4126	3018
2965	4126	2975	4065	2945
2971	4228	2993	4180	2961
2978	4176	3025	4257	3015
7488	10691	7419	10669	42386
7488	10691	7419	42931	7440
7488	10691	7419	44687	7272
7272	44687	7419	10669	42386
7419	42931	7440	10723	7488
7569	10853	7539	10185	7543
7886	11154	7860	11305	7903
8143	11328	8243	11893	8267
38640	12326	8515	12158	8431
9264	13185	9165	13320	9212
41903	44577	9213	13255	9304
9188	44577	9213	13255	9304
38672	14023	9765	14038	9889
38672	14023	9765	14002	39542
39542	14002	9765	13811	9615
43930	14093	9889	14038	9765
41972	14211	9898	45783	41971
10169	14514	10231	42336	10137
38963	43087	11095	43093	39100
11172	44582	11159	15965	11053
11202	16130	11176	16050	11119
11202	16130	11176	16127	11177
40790	42262	11577	42262	40790
40790	42262	11577	16296	11384
38783	16296	11577	42262	40790
38783	16296	11577	16296	38783
11384	16296	11577	16296	11384
11538	16270	11607	42651	11565
12320	17343	12009	17471	12008
11872	17343	12009	17471	12008
12008	17471	12009	17343	11872
12146	23768	12059	18309	43732
12229	17627	12203	23768	12146
12229	17627	12203	17572	12163
12665	18339	12902	17883	13216
12901	17883	12902	18339	12665
12797	18473	13206	19064	13357
12797	18473	13206	18318	13261
13357	19064	13206	18473	12797
13357	19064	13206	18318	13012
13012	18318	13206	18473	12797
13261	18318	13206	19064	13357
14054	42651	13251	19063	13205
13439	19116	13251	19063	13205
13741	42771	13661	19609	13577
14244	20275	14150	19980	992997
14275	20434	14150	19980	992997
14043	20275	14150	19980	992997
14447	20833	14582	43024	33279
14691	42926	14590	42926	14546
14272	19538	14590	42926	14546
14590	42926	14691	21416	14741
14591	42926	14691	21416	14741
14330	20676	14691	21416	14741
14359	20802	14715	21121	41666
14714	21177	14715	21121	41666
14792	42803	14810	21323	15059
15344	42912	15223	42912	15147
33550	21734	15223	42912	15147
15147	42912	15223	42912	15147
15107	21734	15223	42912	15147
16201	22433	15625	22414	15615
15744	22432	15625	22414	15615
15598	42912	15672	42985	15911
15598	42912	15672	42803	15906
15598	42912	15672	42803	15449
15980	22866	16108	17134	16438
15910	17134	16108	22866	15980
16241	23092	16166	22772	42462
16243	22772	16166	23092	16241
33738	15799	16202	15799	33738
16216	23143	16202	23143	16216
15868	15799	16202	15799	15868
16225	22882	16230	43443	16268
993447	42804	16231	46058	16230
16264	42804	16231	46058	16230
42763	23202	16241	23092	16166
33700	23230	16263	46062	993453
16290	23231	16264	23231	16290
16333	42804	16264	42804	16333
16268	23182	16264	23182	16268
16268	23182	16264	42804	16231
16231	42804	16264	42804	16231
16332	22880	16366	23379	16395
16640	23482	16444	23482	16640
16445	23456	16444	23456	16445
16349	23352	16444	23456	16445
16349	23352	16444	23352	16349
43017	23456	16444	23456	43017
16640	23482	16444	23482	16640
16445	23456	16444	23456	16445
16349	23352	16444	23456	16445
16349	23352	16444	23352	16349
43017	23456	16444	23456	43017
16640	23482	16444	23456	43017
16657	23665	16577	17134	16438
16695	17134	16577	23665	16657
16635	23709	16619	23710	16758
42559	23728	16626	23604	42776
16642	23695	16636	23738	33722
16550	23628	16640	23482	16444
42431	23695	16642	42983	42430
16636	23695	16642	42812	16579
43581	22880	16664	23714	16621
16766	23792	16675	23792	16766
16674	23728	16675	23728	16674
16677	23728	16675	23728	16677
16675	23728	16677	23728	16675
16627	23724	16677	23724	16627
16626	23728	16677	23728	16626
16513	22672	16705	23728	16708
33707	44101	16732	44101	33707
16734	23864	16805	23958	17058
16734	23864	16805	23929	16810
16876	23957	16805	23957	16876
16876	23957	16805	22880	16722
17058	23958	16805	23958	17058
16734	23864	16805	23864	16734
