roadid	type	label    	city    	oneway	speed	roadclass	notforcar	notforpede	notforbicy
1	6	hepburn creek rd	warkworth	0	3	0	0	0	0
3	6	wilson rd	warkworth	0	3	0	0	0	0
7	6	hodgart rd	warkworth	0	3	0	0	0	0
8	6	edwards rd	warkworth	0	3	0	0	0	0
11	6	sandspit rd	warkworth	0	2	0	0	0	0
12	6	hamilton rd	snells beach	0	3	0	0	0	0
14	6	duck creek rd	warkworth	0	3	0	0	0	0
17	6	lawrie rd	warkworth	0	3	0	0	0	0
18	3	sharp rd	matakana	0	4	2	0	0	0
19	5	mahurangi east rd	snells beach	0	2	1	0	0	0
20	6	grange st	warkworth	0	3	0	0	0	0
22	6	james st	sandspit	0	2	0	0	0	0
23	6	arabella lane	snells beach	0	2	0	0	0	0
27	6	governor grey rd	snells beach	0	2	0	0	0	0
30	22	walkway	auckland	0	1	0	1	0	0
31	22	walkway	auckland	0	2	0	1	0	0
32	6	tamatea dr	snells beach	0	2	0	0	0	0
33	6	snells beach rd	snells beach	0	2	0	0	0	0
34	6	hamatana rd	snells beach	0	2	0	0	0	0
35	6	brick bay dr	sandspit	0	2	0	0	0	0
36	6	ariki dr	snells beach	0	2	0	0	0	0
39	6	matangi tce	snells beach	0	2	0	0	0	0
40	6	kawau view rd	snells beach	0	2	0	0	0	0
41	6	awatere pl	snells beach	0	2	0	0	0	0
42	6	rawhiti pl	snells beach	0	2	0	0	0	0
43	6	tara pl	snells beach	0	2	0	0	0	0
44	22	walkway	auckland	0	0	0	1	0	0
45	6	aurora ave	snells beach	0	2	0	0	0	0
46	6	cornel cir	snells beach	0	2	0	0	0	0
47	6	foster cres	snells beach	0	2	0	0	0	0
48	6	dawson rd	snells beach	0	2	0	0	0	0
50	6	kauri cres	snells beach	0	2	0	0	0	0
51	6	hinemoa pl	snells beach	0	2	0	0	0	0
52	6	merehai pl	snells beach	0	2	0	0	0	0
53	6	kotuku pl	snells beach	0	2	0	0	0	0
54	6	iris st	snells beach	0	2	0	0	0	0
55	6	ngatira pl	snells beach	0	2	0	0	0	0
56	22	walkway	auckland	0	0	0	1	0	0
57	6	mayne pl	snells beach	0	2	0	0	0	0
58	6	arohia pl	snells beach	0	2	0	0	0	0
59	6	dalton rd	snells beach	0	2	0	0	0	0
60	6	carmen tce	snells beach	0	2	0	0	0	0
61	6	windward tce	snells beach	0	2	0	0	0	0
62	6	washington ave	snells beach	0	2	0	0	0	0
63	6	brigitte view	snells beach	0	2	0	0	0	0
64	3	cosgrave rd	papakura	0	4	2	0	0	0
65	22	walkway	auckland	0	0	0	1	0	0
66	6	moana tce	snells beach	0	2	0	0	0	0
67	6	panui tce	snells beach	0	2	0	0	0	0
68	6	sunburst ave	snells beach	0	2	0	0	0	0
69	6	virginia crcs	snells beach	0	2	0	0	0	0
70	6	sunlight prom	snells beach	0	2	0	0	0	0
71	6	sunrise blvd	snells beach	0	2	0	0	0	0
72	6	kotare pl	sandspit	0	2	0	0	0	0
73	6	amanda lane	snells beach	0	2	0	0	0	0
74	6	woodlands ave	snells beach	0	2	0	0	0	0
75	6	hibiscus ave	snells beach	0	3	0	0	0	0
76	6	piccadilly crcs	snells beach	0	2	0	0	0	0
77	6	dalton rd	snells beach	0	2	0	0	0	0
78	6	puriri pl	sandspit	0	2	0	0	0	0
80	5	mahurangi east rd	algies bay	0	2	1	0	0	0
81	6	goodall rd	snells beach	0	2	0	0	0	0
82	4	great south rd	takanini	0	3	2	0	0	0
83	6	ridge rd	mahurangi east	0	3	0	0	0	0
84	6	charles st	mahurangi east	0	2	0	0	0	0
85	10	nathans rd	waipoua	0	3	0	0	0	0
86	6	west st	mahurangi east	0	2	0	0	0	0
87	6	grant st	mahurangi east	0	2	0	0	0	0
88	6	ferndale dr	snells beach	0	2	0	0	0	0
90	6	young st	mahurangi east	0	2	0	0	0	0
91	6	point st	mahurangi east	0	2	0	0	0	0
92	6	fidelis ave	snells beach	0	2	0	0	0	0
93	6	inca pl	snells beach	0	2	0	0	0	0
94	6	east st	mahurangi east	0	2	0	0	0	0
95	6	mariners grv	algies bay	0	2	0	0	0	0
96	6	gerontius lane	snells beach	0	2	0	0	0	0
98	6	the nook	algies bay	0	2	0	0	0	0
100	6	airedale st	auckland	0	2	0	0	0	0
101	6	alexander rd	algies bay	0	2	0	0	0	0
102	6	the glade	algies bay	0	2	0	0	0	0
105	6	mera rd	algies bay	0	2	0	0	0	0
106	6	gordon craig pl	algies bay	0	2	0	0	0	0
107	6	deerness cres	algies bay	0	2	0	0	0	0
108	6	willjames ave	algies bay	0	2	0	0	0	0
111	6	buckleton rd	sandspit	0	3	0	0	0	0
113	6	miller way	mahurangi east	0	3	0	0	0	0
115	10	sledge rd	waipoua	0	3	0	0	0	0
116	6	rutland st	auckland central	1	2	0	0	0	0
117	6	scandrett rd	mahurangi east	0	3	0	0	0	0
118	6	lorne st	auckland central	0	2	0	0	0	0
119	6	jackson cres	algies bay	0	3	0	0	0	0
121	22	walkway	-	0	1	0	1	0	0
123	6	scandrett rd	mahurangi east	0	3	0	0	0	0
124	22	walkway	auckland	0	1	0	1	0	0
129	3	sandspit rd	warkworth	0	4	2	0	0	0
131	6	george st	mahurangi east	0	2	0	0	0	0
132	6	williams st	mahurangi east	0	2	0	0	0	0
133	2	state highway 12	waipoua	0	5	3	0	0	0
134	2	state highway 12	donnellys crossing	0	5	3	0	0	0
135	6	waikara rd	aranga	0	3	0	0	0	0
137	10	hood rd	aranga	0	3	0	0	0	0
138	10	hood rd	aranga	0	3	0	0	0	0
141	6	aranga coast rd	aranga	0	3	0	0	0	0
142	6	aranga coast rd	aranga	0	3	0	0	0	0
143	6	aranga beach rd	aranga	0	3	0	0	0	0
145	10	hood rd	aranga	0	3	0	0	0	0
146	10	marlborough rd	donnellys crossing	0	3	0	0	0	0
147	10	katui rd	donnellys crossing	0	3	0	0	0	0
148	6	aranga coast rd	aranga	0	3	0	0	0	0
150	10	hood rd	aranga	0	3	0	0	0	0
151	10	hood rd	aranga	0	3	0	0	0	0
152	10	katui rd	donnellys crossing	0	3	0	0	0	0
154	10	hood rd	aranga	0	3	0	0	0	0
155	10	proud rd	donnellys crossing	0	3	0	0	0	0
156	10	proud rd	donnellys crossing	0	3	0	0	0	0
158	10	hood rd	aranga	0	3	0	0	0	0
160	10	katui rd	donnellys crossing	0	3	0	0	0	0
161	6	hood rd	aranga	0	3	0	0	0	0
162	10	waitapu rd	aranga	0	3	0	0	0	0
163	10	hood rd	aranga	0	3	0	0	0	0
165	10	katui rd	donnellys crossing	0	3	0	0	0	0
171	10	hooper rd	aranga	0	3	0	0	0	0
