roadid	type	label    	city    	oneway	speed	roadclass	notforcar	notforpede	notforbicy
100	6	airedale st	auckland	0	2	0	0	0	0
9787	1	northwestern motorway	auckland	1	6	4	0	1	1
13107	1	northwestern motorway	auckland	0	6	4	0	1	1
13379	1	patiki rd exit 12	auckland	1	4	4	0	1	1
13466	9	state highway 16	auckland	1	4	4	0	1	1
13515	5	patiki rd	avondale	0	2	1	0	0	0
13826	1	rosebank rd exit 11	auckland	1	4	4	0	1	1
15328	5	rosebank rd	avondale	0	2	1	0	0	0
15649	9	state highway 16	auckland	1	4	4	0	1	1
15799	5	new north rd	avondale	0	2	1	0	0	0
15884	6	herdman st	waterview	0	2	0	0	0	0
15965	9	state highway 16	auckland	1	4	4	0	1	1
16060	6	cowley st	waterview	0	2	0	0	0	0
16270	6	kiwi rd	point chevalier	0	2	0	0	0	0
16450	6	tui st	point chevalier	0	2	0	0	0	0
16473	6	walmer rd	point chevalier	0	2	0	0	0	0
16501	4	carrington rd	point chevalier	0	2	2	0	0	0
16598	6	moa rd	point chevalier	0	2	0	0	0	0
16687	6	kanuka st	point chevalier	0	2	0	0	0	0
16769	6	kanuka st	point chevalier	0	2	0	0	0	0
16770	6	riro st	point chevalier	0	2	0	0	0	0
16830	6	premier ave	point chevalier	0	2	0	0	0	0
16939	6	riro st	point chevalier	0	2	0	0	0	0
17006	6	kettle st	point chevalier	0	2	0	0	0	0
17021	6	premier ave	point chevalier	0	2	0	0	0	0
17134	4	mt albert rd	mt albert	0	2	2	0	0	0
17146	6	premier ave	point chevalier	0	2	0	0	0	0
17198	6	pasadena ave	point chevalier	0	2	0	0	0	0
17199	6	premier ave	point chevalier	0	2	0	0	0	0
17279	6	chatham ave	mt albert	0	2	0	0	0	0
17312	6	manor pl	point chevalier	0	2	0	0	0	0
17313	6	pasadena ave	point chevalier	0	2	0	0	0	0
17314	6	moray pl	point chevalier	0	2	0	0	0	0
17358	6	verona ave	mt albert	0	2	0	0	0	0
17388	6	motions rd	western springs	0	2	0	0	0	0
17389	6	old mill rd	western springs	0	2	0	0	0	0
17483	6	alexis ave	mt albert	0	2	0	0	0	0
17487	6	ranleigh rd	mt albert	0	2	0	0	0	0
17488	6	summit dr	mt albert	0	2	0	0	0	0
17522	6	martin ave	mt albert	0	2	0	0	0	0
17559	6	wesley ave	mt albert	0	2	0	0	0	0
17560	6	caughey pl	mt albert	0	2	0	0	0	0
17562	6	martin ave	mt albert	0	2	0	0	0	0
17612	6	maybeck rd	mt albert	0	2	0	0	0	0
17614	6	rossgrove tce	mt albert	0	2	0	0	0	0
17615	6	martin ave	mt albert	0	2	0	0	0	0
17646	6	martin ave	mt albert	0	2	0	0	0	0
17694	6	linwood ave	mt albert	0	2	0	0	0	0
17696	6	doreen ave	mt albert	0	2	0	0	0	0
17740	6	burch st	mt albert	0	2	0	0	0	0
17770	6	violet st	mt albert	0	2	0	0	0	0
17773	6	baldwin ave	mt albert	0	2	0	0	0	0
17793	9	state highway 16	auckland	1	4	4	0	1	1
17810	6	norrie ave	mt albert	0	2	0	0	0	0
17854	6	old mill rd	westmere	0	2	0	0	0	0
17855	6	savage st	westmere	0	2	0	0	0	0
17858	6	francis ryan cl	mt albert	0	2	0	0	0	0
17860	6	toroa tce	mt albert	0	2	0	0	0	0
17862	6	willis st	mt albert	0	2	0	0	0	0
17908	6	linwood ave	mt albert	0	2	0	0	0	0
17911	6	wairere ave	mt albert	0	2	0	0	0	0
17973	6	bennett st	mt albert	0	2	0	0	0	0
18056	6	linwood ave	mt albert	0	3	0	0	0	0
18058	6	oakfield ave	mt albert	0	2	0	0	0	0
18104	6	west view rd	westmere	0	3	0	0	0	0
18105	6	west view rd	westmere	0	2	0	0	0	0
18106	6	kitenui ave	mt albert	0	2	0	0	0	0
18136	6	larchwood ave	westmere	0	2	0	0	0	0
18195	6	challinor cres	mt albert	0	3	0	0	0	0
18196	6	challinor cres	mt albert	0	2	0	0	0	0
18197	6	linwood ave	mt albert	0	3	0	0	0	0
18198	6	wairere ave	mt albert	0	2	0	0	0	0
18234	6	asquith ave	mt albert	0	2	0	0	0	0
18257	6	west view rd	westmere	0	2	0	0	0	0
18258	6	selcourt rd	mt albert	0	2	0	0	0	0
18259	6	selcourt rd	mt albert	0	2	0	0	0	0
18260	6	jesmond tce	mt albert	0	2	0	0	0	0
18263	5	old mill rd	western springs	0	2	1	0	0	0
18264	6	wellpark ave	grey lynn	0	2	0	0	0	0
18318	4	st lukes rd	western springs	0	2	2	0	0	0
18344	6	brewster ave	mt albert	0	2	0	0	0	0
18345	6	amandale ave	mt albert	0	2	0	0	0	0
18346	6	amandale ave	mt albert	0	2	0	0	0	0
18356	1	st lukes rd exit 6	auckland	1	4	4	0	1	1
18357	6	malvern rd	morningside	0	2	0	0	0	0
18406	6	malvern rd	morningside	0	2	0	0	0	0
18424	6	seychelles st	mt albert	0	2	0	0	0	0
18473	6	taylors rd	mt albert	0	2	0	0	0	0
18475	6	alberton ave	mt albert	0	2	0	0	0	0
18518	6	warnock st	westmere	0	2	0	0	0	0
18520	6	duncan maclean link	western springs	0	2	0	0	0	0
18521	6	malvern rd	morningside	0	2	0	0	0	0
18523	6	western springs rd	morningside	0	2	0	0	0	0
18524	6	springfield rd	western springs	0	2	0	0	0	0
18525	6	malvern rd	morningside	0	2	0	0	0	0
18526	6	brewster ave	mt albert	0	2	0	0	0	0
18540	6	francis st	grey lynn	0	2	0	0	0	0
18581	6	wellpark ave	grey lynn	0	2	0	0	0	0
18582	6	jesmond tce	mt albert	0	2	0	0	0	0
18631	6	francis st	grey lynn	0	2	0	0	0	0
18632	6	sherwood ave	grey lynn	0	2	0	0	0	0
18635	6	bannerman rd	western springs	0	2	0	0	0	0
18636	22	walkway	auckland	0	1	0	1	0	0
18638	6	selkirk rd	mt albert	0	2	0	0	0	0
18639	6	selkirk rd	mt albert	0	2	0	0	0	0
18745	6	francis st	grey lynn	0	2	0	0	0	0
18746	6	stanmore rd	grey lynn	0	2	0	0	0	0
18839	6	maxwell ave	grey lynn	0	2	0	0	0	0
18841	6	hope st	grey lynn	0	2	0	0	0	0
18852	1	st lukes rd exit 6	auckland	1	4	4	0	1	1
18886	6	cardigan st	western springs	0	2	0	0	0	0
18890	6	hazelmere rd	sandringham	0	2	0	0	0	0
18900	9	state highway 16	auckland	1	4	4	0	1	1
18935	6	wilton st	grey lynn	0	2	0	0	0	0
18937	6	stanmore rd	grey lynn	0	2	0	0	0	0
18988	6	rhyde st	western springs	0	3	0	0	0	0
18990	6	malvern rd	morningside	0	2	0	0	0	0
19005	6	sainsbury rd	mt albert	0	2	0	0	0	0
19006	5	richmond rd	grey lynn	0	2	1	0	0	0
19008	6	bullock trk	grey lynn	0	2	0	0	0	0
19061	6	sefton ave	grey lynn	0	3	0	0	0	0
19062	6	bullock trk	grey lynn	0	2	0	0	0	0
19063	6	bullock trk	grey lynn	0	2	0	0	0	0
19064	6	taylors rd	mt albert	0	2	0	0	0	0
19065	6	locarno ave	sandringham	0	2	0	0	0	0
19078	6	sackville st	grey lynn	0	2	0	0	0	0
19113	6	sefton ave	grey lynn	0	2	0	0	0	0
19114	6	castle st	grey lynn	0	2	0	0	0	0
19115	6	stanmore rd	grey lynn	0	2	0	0	0	0
19116	6	tuarangi rd	grey lynn	0	2	0	0	0	0
19129	6	lyon ave	mt albert	0	2	0	0	0	0
19162	6	wilton st	grey lynn	0	2	0	0	0	0
19164	6	derwent st	western springs	0	2	0	0	0	0
19168	6	sainsbury rd	mt albert	0	2	0	0	0	0
19176	6	hakanoa st	grey lynn	0	2	0	0	0	0
19215	6	myrtle st	western springs	0	2	0	0	0	0
19217	6	parkhill rd	mt albert	0	2	0	0	0	0
19218	6	rocky nook ave	mt albert	0	2	0	0	0	0
19219	6	rocky nook ave	mt albert	0	2	0	0	0	0
19236	6	ivanhoe rd	western springs	0	2	0	0	0	0
19237	6	myrtle st	western springs	0	2	0	0	0	0
19273	6	taylors rd	mt albert	0	2	0	0	0	0
19289	6	morningside dr	morningside	0	2	0	0	0	0
19291	6	morning star pl	mt albert	0	2	0	0	0	0
19346	6	gilbert ave	grey lynn	0	2	0	0	0	0
19348	6	mountain view rd	western springs	0	2	0	0	0	0
19349	6	warwick st	western springs	0	2	0	0	0	0
19351	6	wolseley st	mt albert	0	2	0	0	0	0
19352	6	wolseley st	mt albert	0	2	0	0	0	0
19404	6	sefton ave	grey lynn	0	2	0	0	0	0
19405	6	wexford rd	grey lynn	0	2	0	0	0	0
19406	6	tuarangi rd	grey lynn	0	2	0	0	0	0
19407	6	levonia st	western springs	0	3	0	0	0	0
19408	6	warwick st	western springs	0	3	0	0	0	0
19409	6	wexford rd	grey lynn	0	2	0	0	0	0
19432	6	wagener pl	mt albert	0	2	0	0	0	0
19438	6	tutanekai st	grey lynn	0	2	0	0	0	0
19468	6	mountain view rd	western springs	0	3	0	0	0	0
19469	6	taylors rd	mt albert	0	2	0	0	0	0
19470	6	sainsbury rd	mt albert	0	2	0	0	0	0
19472	6	fergusson ave	sandringham	0	2	0	0	0	0
19493	6	allen lane	grey lynn	0	2	0	0	0	0
19494	6	edwards rd	grey lynn	0	2	0	0	0	0
19543	6	baildon rd	grey lynn	0	2	0	0	0	0
19544	6	fisherton st	grey lynn	0	2	0	0	0	0
19545	6	fowlds ave	sandringham	0	2	0	0	0	0
19560	6	shorwell st	sandringham	0	2	0	0	0	0
19611	6	mountain view rd	western springs	0	2	0	0	0	0
19613	6	mountain view rd	western springs	0	2	0	0	0	0
19615	6	mountain view rd	western springs	0	2	0	0	0	0
19616	6	morningside dr	morningside	0	2	0	0	0	0
19621	6	shorwell st	sandringham	0	2	0	0	0	0
19649	6	allen rd	grey lynn	0	2	0	0	0	0
19650	6	finch st	western springs	0	2	0	0	0	0
19652	6	morningside dr	morningside	0	2	0	0	0	0
19653	6	exeter rd	mt albert	0	2	0	0	0	0
19656	6	kingsway ave	sandringham	0	2	0	0	0	0
19713	6	sainsbury rd	mt albert	0	2	0	0	0	0
19761	6	taylors rd	mt albert	0	2	0	0	0	0
19762	6	morningside dr	morningside	0	2	0	0	0	0
19763	6	bournemouth ave	sandringham	0	2	0	0	0	0
19764	6	gordon rd	sandringham	0	2	0	0	0	0
19765	6	gordon rd	sandringham	0	2	0	0	0	0
19766	6	argyle st	sandringham	0	2	0	0	0	0
19769	6	shorwell st	sandringham	0	2	0	0	0	0
19789	6	shirley rd	grey lynn	0	2	0	0	0	0
19810	6	browning st	grey lynn	0	2	0	0	0	0
19815	6	morningside dr	morningside	0	2	0	0	0	0
19837	6	clifford rd	grey lynn	0	3	0	0	0	0
19859	6	grove rd	sandringham	0	2	0	0	0	0
19926	6	inwood st	kingsland	0	2	0	0	0	0
19928	6	finch st	western springs	0	3	0	0	0	0
19930	6	rona ave	grey lynn	0	2	0	0	0	0
19931	6	herringson ave	grey lynn	0	2	0	0	0	0
19932	6	don croot st	grey lynn	0	3	0	0	0	0
19933	6	morningside dr	morningside	0	2	0	0	0	0
19934	6	morningside dr	morningside	0	2	0	0	0	0
19935	6	cornwallis st	sandringham	0	2	0	0	0	0
19938	6	bournemouth ave	sandringham	0	2	0	0	0	0
19954	6	firth rd	grey lynn	0	2	0	0	0	0
19980	6	selbourne st	grey lynn	0	2	0	0	0	0
19987	6	aroha ave	sandringham	0	2	0	0	0	0
19988	6	aroha ave	sandringham	0	2	0	0	0	0
20027	6	morningside dr	morningside	0	2	0	0	0	0
20028	6	mcdonald st	sandringham	0	2	0	0	0	0
20029	6	morningside dr	morningside	0	2	0	0	0	0
20030	6	aroha ave	sandringham	0	2	0	0	0	0
20031	6	cabbage tree swamp dr	sandringham	0	2	0	0	0	0
20032	6	aroha ave	sandringham	0	2	0	0	0	0
20033	6	aroha ave	sandringham	0	2	0	0	0	0
20046	6	ivanhoe rd	western springs	0	2	0	0	0	0
20085	6	dryden st	grey lynn	0	2	0	0	0	0
20092	6	don croot st	morningside	0	2	0	0	0	0
20093	6	don croot st	grey lynn	0	2	0	0	0	0
20094	6	tay st	grey lynn	0	2	0	0	0	0
20095	6	morningside dr	morningside	0	2	0	0	0	0
20097	6	kenneth ave	sandringham	0	2	0	0	0	0
20098	6	thanet ave	sandringham	0	2	0	0	0	0
20099	6	aroha ave	sandringham	0	2	0	0	0	0
20146	6	barrington rd	grey lynn	0	2	0	0	0	0
20149	6	kenneth ave	sandringham	0	2	0	0	0	0
20170	6	fourth ave	kingsland	0	2	0	0	0	0
20208	6	prime rd	grey lynn	0	2	0	0	0	0
20209	6	mcdonald st	sandringham	0	2	0	0	0	0
20210	6	ethel st	sandringham	0	2	0	0	0	0
20268	6	farrar st	grey lynn	0	2	0	0	0	0
20269	6	farrar st	grey lynn	0	2	0	0	0	0
20270	6	farrar st	grey lynn	0	2	0	0	0	0
20272	6	jessel st	grey lynn	0	2	0	0	0	0
20274	6	farrar st	grey lynn	0	2	0	0	0	0
20275	6	williamson ave	grey lynn	0	2	0	0	0	0
20276	6	altham ave	mt eden	0	2	0	0	0	0
20284	5	great north rd	auckland	0	2	1	0	0	0
20285	6	cockburn st	grey lynn	0	2	0	0	0	0
20317	6	rossmay tce	mt eden	0	2	0	0	0	0
20318	6	leslie ave	sandringham	0	2	0	0	0	0
20319	6	altham ave	mt eden	0	2	0	0	0	0
20333	6	school rd	kingsland	0	2	0	0	0	0
20334	6	second ave	kingsland	0	2	0	0	0	0
20335	6	third ave	kingsland	0	2	0	0	0	0
20381	6	schofield st	grey lynn	0	2	0	0	0	0
20384	6	begbie pl	sandringham	0	2	0	0	0	0
20387	6	patterson st	sandringham	0	2	0	0	0	0
20433	6	elgin st	grey lynn	0	2	0	0	0	0
20434	6	coleridge st	grey lynn	0	2	0	0	0	0
20435	6	ethel st	sandringham	0	2	0	0	0	0
20436	6	collins st	sandringham	0	2	0	0	0	0
20437	6	shaw st	sandringham	0	2	0	0	0	0
20455	4	balmoral rd	morningside	0	2	2	0	0	0
20495	6	lancing rd	sandringham	0	2	0	0	0	0
20496	6	watson ave	sandringham	0	2	0	0	0	0
20508	6	arnold st	grey lynn	0	2	0	0	0	0
20509	6	lincoln st	ponsonby	0	2	0	0	0	0
20561	6	northland st	grey lynn	0	2	0	0	0	0
20577	6	rose rd	grey lynn	0	2	0	0	0	0
20578	6	norfolk st	ponsonby	0	2	0	0	0	0
20579	6	lincoln st	ponsonby	0	2	0	0	0	0
20599	6	elgin st	grey lynn	0	2	0	0	0	0
20602	6	cambourne rd	sandringham	0	2	0	0	0	0
20617	6	douglas st	ponsonby	0	2	0	0	0	0
20656	6	parrish rd	sandringham	0	2	0	0	0	0
20671	6	brown st	ponsonby	0	2	0	0	0	0
20672	6	chamberlain st	grey lynn	0	2	0	0	0	0
20702	6	harcourt st	grey lynn	0	2	0	0	0	0
20706	6	gribblehirst rd	sandringham	0	2	0	0	0	0
20714	6	murdoch rd	grey lynn	0	2	0	0	0	0
20715	6	wallingford st	grey lynn	0	2	0	0	0	0
20762	6	ward tce	sandringham	0	2	0	0	0	0
20764	6	paice ave	morningside	0	2	0	0	0	0
20803	6	burnley tce	morningside	0	2	0	0	0	0
20845	6	elgin st	grey lynn	0	2	0	0	0	0
20848	6	hadlow tce	grey lynn	0	2	0	0	0	0
